,tweets,sentiment
127,"Penyelenggara Formula E Jakarta akan Jual 50 Ribu Tiket, Paling Murah Rp 350.000  #TempoMetro"
128,Harga Tiket Formula E Jakarta Mulai Rp350 Ribu hingga Jutaan
129,"Panitia Formula E Jakarta Bakal Jual Sedikitnya 50.000 Tiket, Harga Beragam"
130,"Panitia Formula E Jakarta Bakal Jual Sedikitnya 50.000 Tiket, Harga Beragam  via"
131,Ahmad Sahroni: Penonton Formula E Jakarta Minimal 50.000
132,Tiket Formula E Jakarta bakal dijual pada Mei 2022 mendatang. Sebegini perkiraan hargannya. #FormulaE
133,Ini Harga Tiket Formula E Jakarta 2022 Harga tiket Formula E Jakarta 2022 dimula
134,-  Ini Harga Tiket Formula E Jakarta 2022: Harga tiket Formula E Jakarta 2022 dimulai dari Rp350.000 hingga jutaan.
135,Panitia Formula E Jakarta akan jual sedikitnya 50.000 tiket
136,Ini Harga Tiket Formula E Jakarta 2022 #LengkapCepatBeritanya #Olahraga #Sport #F1 #Formula1 #Grandprix .
137,Cebongggg goblok ya terlaluRakyat lagi Krisis bahan poko mahalBBM mahal . Dan langkaSibuk lagi bkin hoax formula e.Sesuai arahan kk pembina ya bong Emang indonesia Jakarta doang bong..Goblok sih dipamerin😃😁😁😄
138,"Ingat gak, DKI Jakarta sekarang punya bus listrik transjakarta sebagai transportasi publik? Nah, ini event ini juga salah satu mewujudkan #JakartaLangitBiru. Jadi, Formula E di Jakarta ga cuman event balap-balapan aja ya, fellas. Kamu 4 Juni 2022 sudah siap nonton? #FormulaE"
139,Pengamat Ini Pesimistis Formula E Jakarta Bakal Sukses...
140,"Nah, kalo kamu lihat tweet kita penasaran dong dengan event “Road to Jakarta EPrix 2022” nanti kok banyak semangat sustainable nya :D. Yes, karena event Formula E dari masa ke masa, ingin mendorong masyarakat menggunakan kendaraan listrik untuk mobilitas sehari-harinya. #FormulaE"
141,Proyek formula e tidak mencerminkan keinginan masyarakat Jakarta
142,Menunggu tweet ini untuk Formula E di Jakarta 🥰🥰
143,"Seperti di kota-kota lainnya, di Jakarta, Formula E tetap dengan semangat sustainable, event yang ramah lingkungan. #FormulaE"
144,Proyek formula e bukan untuk rakyat jakarta
145,Pengamat Kebijakan Publik Trubus Rahadiansyah pesimistis penyelenggaraan Formula E Jakarta bakal sukses. Begini masalahnya. #FormulaE
146,"Makanya jangan mau dibodohi. Kita dukung Formula E saja. Lebih terkenal dan lebih bergengsi.(Mari kita tanya Google siapa saja nama pembalapnya).Btw, Dengar-dengar tiket Formula E sdh dijual Maret 2022 ini.Jakarta, 29 Februari 2022."
147,"Siap min, biar narasi dan perhatian soal formula E juga angkat soal paling fundamental, kenapa bikin balapan mobil listrik."
